"id","title","authors","year","doi","abstract"
"039","Inducing competence-based assignment in traditional structural engineering education: A case study","Ghoniem, A.; Ghoniem, E.","2022","10.1002/cae.22493","The paper is motivated by real problems concerning the evaluation of the academic performance, satisfaction, critical thinking skills, and creativity in the learning process of engineering students exposed to a mixture of lecture-based learning with competence-based learning. The study randomized 450 students, enrolled in a reinforced concrete structures course, into three equal groups. One group was assigned to problem-based learning, while project- and technology-based learning was conducted for the other two groups. The practices of these three groups were compared based on two methods: monitoring of both generic and technical skills and a questionnaire analysis that indicated student satisfaction, critical thinking skills, and creativity. On the basis of the findings, the students who passed the project- and technology-based assignments held the highest achievement marks and reported higher satisfaction, critical thinking skills, and creativity. The obtained results revealed the necessity of technology to embrace new learning strategies that mimic real-world problems. © 2022 Wiley Periodicals LLC."
"040","Evolution of teaching approaches for science, engineering and technology within an online environment: A review","Maladzhi, R.W.; Kanakana-Katumba, G.M.","2020","10.25046/AJ0506144","The emergence of the COVID-19 pandemic earlier this year destabilised the operations in the education sector, particularly in institutions of higher learning. Most of these institutions are now expected to teach online, assess their students using non-venue examinations and offer remote laboratory practical and experiments. However, many of these institutions were not prepared for such dynamic change in a such short space of time. Consequently, most of the institutions moved their mid-year examinations to the October/November period. In addition, they are finding methods to conduct laboratory practical and experiments. Prominent researchers agree that institutions of higher learning are challenged by the current dispensation where academics are expected to implement new pedagogical approaches and take advantage of information and communications technology (ICT) for teaching and learning. Every module requires a specific teaching method, as a result, academics need to know about various methods available. Generally, the sciences and engineering modules are taught within the classroom environment and require experiential platforms to solidify the theoretical knowledge gained. The current study is aimed at assessing the evolution of teaching approaches and technologies in distance education regarding online delivery particularly in science, engineering and technology. Various search engines such as Google Scholar, Scopus, Sabinet, ProQuest and EBSCO were used to obtain relevant literature to depict popular teaching approaches and the relevant technologies. In order to access relevant literature, various key strings were used. The findings of the study revealed problem-based, apprenticeship and experimental, and competency-based learning as the most popular teaching approaches, particularly between 2010 and 2020. Project-based learning, case-based learning and communities of practice equally share the third position followed by integrative learning. Students and academics show that instant feedback provided by virtual labs yielded encouraging results. This shows that many students and their academics prefer the introduction of the virtual labs in their learning environment, especially from 2012 until recent. The literature further confirms the current findings that institutions of higher learning need to equip academics to be able to integrate technology within their teaching methods for students to continue to learn at ease. © 2020 ASTES Publishers. All rights reserved."
"041","Developing a Framework of Entrustable Professional Activities for Residency Training in Hematology","Tian, H.; Xu, L.; Xi, J.; Yin, J.; Dai, H.; Wang, Y.; Chen, J.; Li, C.; Zhu, Y.; Wang, H.; Zhou, M.; Long, Y.; Song, X.; Yang, L.; Qi, J.; Zhou, J.; Xue, S.","2025","10.2147/AMEP.S541605","Purpose: Entrustable professional activities (EPAs), essential for competent and safe clinical practice, serve as milestones to assess trainees’ readiness for independent patient care. This study aimed to develop a context-specific EPA framework for hematology residency training in China. Methods: We employed a modified Delphi method involving 35 experts from 8 academic hospitals to establish China’s inaugural hematology-specific EPA framework. The development process comprised three key components: (1) a systematic literature review integrating international EPA models with China’s the Standardized Training System for Residents (STSR) requirements; (2) structural validation through the EQual rubric (cut-off: 4.07); and (3) a two-round Delphi consultations evaluating importance, observability, evaluability, repeatability, feasibility and entrustment-supervision levels. Expert engagement metrics and inter-rater agreement evaluated consensus quality. Results: The preliminary 14-item framework was ultimately refined to 12 EPAs following the exclusion of “Public Health Emergency Response” (EPA 14; mean score=3.23) and “Imparting Bad News” (EPA 13; 57.1% experts advocated removing). Key revisions involved expanding the hematopoietic stem cell transplantation (HSCT) competency domain to include donor selection (EPA 7) and the provisional addition then subsequent removal of “Cellular Immunotherapy Complications Management” due to insufficient standardization of assessment criteria. The final EPAs achieved unanimous EQual compliance (≥4.07) and strong Delphi consensus (Kendall’s W: Round 1 = 0.271, Round 2 = 0.529, p<0.001). Clinical entrustment-supervision levels were systematically stratified by training phase and expected competency at graduation. Conclusion: This study has established China’s first hematology-specific EPA framework by addressing gaps in global EPA models through integration of integrating local clinical demands (high patient volume, resource constraints) and multidisciplinary coordination. The framework provides a validated tool for competency-based assessment, with future steps focusing on digital implementation and nationwide validation. © 2025 Tian et al."
"042","The college prep program at APL: An experiential model to help high-achieving, underserved students trailblaze and achieve success","Gray-Roncal, K.; Huynh, L.; Kolarik, T.; Roncal, M.; Saunders, M.A.; Gray-Roncal, W.","2018","10.1109/ISECon.2018.8340511","Data show that many high school students, especially those from underserved or underrepresented backgrounds, are unsuccessful in achieving a four-year college degree, particularly in Science, Technology, Engineering, and Math (STEM) careers. These young scholars often have strong potential and ambitious dreams, but face significant structural barriers in achieving their goals, resulting in substantial opportunity and knowledge gaps. We have developed a novel approach to help these students prepare for college admissions and achieve college success through intensive mentoring by STEM professionals and support through technology innovations. We developed a comprehensive, competency-based curriculum that includes academics, application preparation, essay development, financial aid, test preparation and college visits. Students complete a capstone portfolio project at the end of the summer intervention, and we continue to provide longitudinal support throughout their high school and college years. Over the past nine summers we implemented our model with an all-volunteer staff to achieve significant, measurable results: 168 students have participated in the program; 98% of surveyed program alumni are on-track to earning their four-year college degrees; and the majority plan to earn degrees in STEM and to pursue a graduate degree. Our outcomes significantly outperform both students from similar backgrounds and the overall student population. In this manuscript, we provide an overview of our model, insights into how this approach may be extended to other communities and suggestions for evaluating program efficacy in a data-driven framework. © 2018 IEEE."
"043","Design and implementation of a Semester I for mechatronics","Díaz Martínez, R.J.","2019","10.1007/s12008-019-00604-4","This work presents a “Semester I” experience developed for a group of 8th-semester students of Mechatronic Engineering (IMT) on the Laguna campus of the Tecnologico de Monterrey. The students received twenty-seven content modules related to seven subjects (which met their curricular training requirements), and they were given tools to solve the challenges to real world problems in the community. In addition to these contents, students had to delve into knowledge and skills not previously learned in their scholastic careers but which were necessary to solve the challenges. These included different methods for the measurement of non-constant and turbulent fluids as well as techniques for plant irradiation. During the semester, the periods of total immersion were planned times that would be dedicated to work on the resolution of the challenges, when the students, professors and advisers worked collaboratively. Two training partners participated; namely, Madero Equipos de Ordeño, S.A. de C.V., and Almerimex, S.A. de C.V. (In Mexico, “S.A. de C.V.” designates a corporation.) The training partners provided advice to the students so that they could design a milk flow sensor and a bactericidal system with Ultraviolet-C light (UV-C light) and also manage the costs of building the prototypes designed. For the students, the semester served to measure disciplinary competencies such as the design, construction and testing of a mechatronic system prototype and the design and analyses of experiments. They also acquired transversal competencies such as the passion for self-learning and critical thinking for the identification and analysis of a problem and the generation of alternatives to solve it. © 2019, Springer-Verlag France SAS, part of Springer Nature."
"044","Computing Students' Understanding of Dispositions: A Qualitative Study","Kiesler, N.; Mackellar, B.K.; Kumar, A.N.; McCauley, R.; Raj, R.K.; Sabin, M.; Impagliazzo, J.","2023","10.1145/3587102.3588797","Dispositions, along with skills and knowledge, form the three components of competency-based education. Moreover, studies have shown dispositions to be necessary for a successful career. However, unlike evidence-based teaching and learning approaches for knowledge acquisition and skill development, few studies focus on translating dispositions into observable behavioral patterns. An operationalization of dispositions, however, is crucial for students to understand and achieve respective learning outcomes in computing courses. This paper describes a multi-institutional study investigating students' understanding of dispositions in terms of their behaviors while completing coursework. Students in six computing courses at four different institutions filled out a survey describing an instance of applying each of the five surveyed dispositions (adaptable, collaborative, persistent, responsible, and self-directed) in the courses' assignments. The authors evaluated data by using Mayring's qualitative content analysis. The result was a coding scheme with categories summarizing students' concepts of dispositions and how they see themselves applying dispositions in the context of computing. These results are a first step in understanding dispositions in computing education and how they manifest in student behavior. This research has implications for educators developing new pedagogical approaches to promote and facilitate dispositions. Moreover, the operationalized behaviors constitute a starting point for new assessment strategies of dispositions.  © 2023 ACM."
"045","Incorporating future of nursing competencies into a clinical and simulation assessment tool: Validating the clinical simulation competency assessment tool","Beauvais, A.M.; Phillips, K.E.","2020","10.1097/01.NEP.0000000000000709","AIM The purpose of the study was to evaluate the validity of the Clinical Simulation Competency Assessment Tool (ClinSimCAT). BACKGROUND The 2011 Future of Nursing report encouraged nursing programs to move toward a competency-based approach to education. As no tool was found to holistically evaluate nursing student competency in clinical and simulation settings, we developed the ClinSimCAT based on the Institute of Medicine recommended competencies. METHOD A Delphi study with three rounds was conducted. A national sample of nursing education and simulation leaders was used to achieve consensus about the competencies. RESULTS The process resulted in a set of 20 competencies across eight domains (patient-centered care, teamwork and collaboration, evidence-based practice, quality improvement, safety, informatics, professionalism, and systems-based practice). CONCLUSION The ClinSimCAT has demonstrated evidence of content validity and can be used for evaluation of clinical and simulation across a variety of undergraduate nursing courses.  © Lippincott Williams & Wilkins."
"046","Innovative Learning Technologies in the Process of Training Specialists of Engineering Specialties in the Conditions of Digitalization of Higher Education","Oleksandr, K.; Natalia, S.; Dembitska, S.; Iryna, K.; Maryna, M.","2024","10.1007/978-3-031-53382-2_1","Modernization of education, including complex changes related to the prospects of Ukraine joining the EU, requires a reconsideration of education programs, comprehensive approach to the study of general education and special disciplines, the introduction of a competency-based approach to education, and the formation of practical skills in engineering students. Currently, the process of creating prerequisites for quality training of future specialists in institutions of higher technical education is gaining special relevance. The objective of the research is scientific substantiation and development of didactic principles for the introduction of innovative learning technologies in the process of training specialists in engineering specialties in the conditions of digitalization of higher education. The object of the study is the educational process in the institutions of higher education in the conditions of the digitization, the subject of the study is the theoretical and methodological justification of the feasibility of introducing innovative educational technologies in the educational process of the higher school in the conditions of digitalization of society. The following research methods were used: analysis of educational documentation (training, industrial practice), observation, surveys and interviews, testing, expert evaluation, self-evaluation. On the basis of the conducted scientific research, ways to improve the educational process by introducing innovative learning technologies in the process of training specialists in engineering specialties in the conditions of digitalization of higher education have been suggested. The proposed principles of creating a subject-oriented and educational-informational educational environment create opportunities for using innovative multimedia products. This area of educational activity should become the basis for the formation and development of the professional competence of specialists in engineering specialties in the conditions of distance learning, the development of creativity in the process of professional tasks solution and decision-making in the conditions of internal and external challenges for enterprises and organizations, improving the efficiency of memorization. © The Author(s), under exclusive license to Springer Nature Switzerland AG 2024."
"047","Training of future teachers during teaching internship in the context of modern approaches (Directions of specialization: Physics, mathematics, informatics)","Dammer, M.D.; Karasova, I.S.; Leonova, E.A.; Potapova, M.V.; Selezneva, E.A.","2018","","The complexity of the system of organization and carrying out of teaching internship for students of pedagogical higher education institutions, caused by a large number of subjects of practice and numerous parameters for assessing the level of training of trainee students, requires scientific justification of the applied approaches. The article presents a ""Roadmap for teaching internship"", which includes the kinds of activities of all subjects of practice, as well as the tools for the implementation of current and midpoint assessment of the activities of students fulfilling the professional tasks of practice. The results of the pedagogical experiment confirmed the validity of the applied approaches and the developed models, and also pointed out the directions for improving the professional training of students. The system of organizing and carrying out a practice developed on the basis of modern approaches is novel and has a great practical importance. Its implementation will ensure a high level of professional training for future teachers. © 2018."
"048","Industrial Robotics and Adaptive Control Systems in STEM Education: Systematic Review of Technology Transfer from Industry to Classroom and Competency Development Framework","Urrea, C.","2026","10.3390/app16042026","The Fourth Industrial Revolution reshapes manufacturing and workforce demands, yet a persistent gap remains between industry needs and engineering education. While proficiency in industrial robotics, adaptive control, and automation becomes critical, traditional education struggles to bridge the theory–practice divide. This systematic review examines technology transfer from factory to classroom to develop authentic Industry 4.0 competencies. Following PRISMA 2020 guidelines, we synthesized 52 empirical studies (2019–2025) focusing on technology complexity, pedagogical approaches, and learning outcomes. Random-effects meta-analysis of 12 representative studies reveals large positive effects: Hedges’ g of 0.786 (95% CI: 0.726–0.846, p < 0.001) with homogeneous effects ((Formula presented.) = 0.00%, p = 0.464), indicating robust generalizability. However, critical gaps emerged: only 7.7% employ actual industrial manipulators versus educational kits, adaptive control pedagogy remains limited, and fault-tolerant systems teaching receives minimal attention. Technology complexity analysis reveals clear progression from educational kits through semi-industrial platforms to industrial systems, with significant differential effects on transferable skills (r = 0.68, p < 0.001). This study proposes the ARC Framework integrating technology taxonomy, competency progression, pedagogical strategies, and assessment rubrics. Cost–effectiveness analysis demonstrates remote labs optimize impact-per-investment ratios ($45 vs. $280 per student), providing an evidence-based framework for technology transfer in engineering education. © 2026 by the author."
"049","Teaching automation with Factory I/O under a competency-based curriculum","Vargas, H.; Heradio, R.; Donoso, M.; Farias, G.","2023","10.1007/s11042-022-14047-9","Some of the most critical competencies students need to acquire to become control engineers require performing practices under actual industrial conditions. This means that they must not only master the theoretical aspects of the discipline but also acquire skills and attitudes to face unpredictable real-world situations. Software tools such as Matlab/Simulink are widely used to train the design and validation of controllers, but they fail to provide real industrial contexts. Nowadays, there are 3D simulation tools that support recreating industrial environments to a remarkable extent, making them very attractive for university courses. Nevertheless, their application in engineering courses is scarce yet. This paper presents a methodological framework for seizing into competency-based courses one of these simulation tools, called Factory I/O. Our approach was evaluated in a master’s course on Industrial PID Control at Pontifical Catholic University of Valparaíso (PUCV) in Chile. The evaluation comprised the qualitative analysis of students’ grades over four consecutive course editions and the qualitative study of students’ opinion on Factory I/O educational value. The objectives of our evaluation were (i) testing if Factory I/O helped students develop skills hard to practice in academic contexts, such as detecting faults or recognizing the importance of having well-defined operation protocols; (ii) validating our methodology for competency-based courses; and (iii) surveying our students about Matlab/Simulink and Factory I/O strengths/weaknesses to teach control engineering. According to the results, (a) Factory I/O complements Simulink by providing an adequate virtual environment to learn the aforementioned skills; and (b) our methodology supports courses’ continuous improvement through the statistical analysis of students’ achievements at different abstraction levels. © 2022, The Author(s)."
"050","Collaborative And Integrated Planning for the Institutional Introduction of Active Methodologies in Engineering Education","Fonseca, L.; Campello, S.; Ribeiro, A.","2025","10.5281/zenodo.15847169","Higher education in Brazil has traditionally been structured around discipline-based courses. Since 2019, with the implementation of competency-based assessment frameworks, Higher Education Institutions (HEIs) have been required to redesign their instructional strategies to promote interdisciplinary integration and competency development. This paper investigates the use of a canvas-based approach as a collaborative planning tool for faculty members. The study demonstrates how the canvas supports curriculum integration and the adoption of active learning methodologies in engineering education. Case studies were conducted to evaluate the effectiveness of collaborative planning involving both interdisciplinary course integration and cooperation among multiple instructors teaching the same course across different sections. Results show that canvas-supported planning significantly contributed to enhanced curricular cohesion, improved quality of course syllabi, and increased student engagement. The findings suggest that the use of canvas and digital collaboration tools enhances the teaching and learning process. Moreover, this approach can serve as a strategic framework for ongoing institutional transformation, fostering the implementation of active methodologies and continuous curricular integration. © 2025, University of Minho. All rights reserved."
"051","Integrating Generative Artificial Intelligence and Augmented Reality Within a Structured Project-Based Learning Framework for Unit Operations Education","Jaramillo-Fierro, X.; Guaya, D.; Meneses, M.A.; Valarezo, E.","2026","10.3390/su18052317","This study examines the impact of integrating Generative Artificial Intelligence (AIgen) and Augmented Reality (AR) within a Project-Based Learning (PBL) framework to enhance student motivation and active learning in Chemical Engineering Unit Operations (OU) courses. The research employed a quasi-experimental post-test design without a control group and followed a mixed-methods explanatory approach. The intervention was implemented over two academic semesters at the Universidad Técnica Particular de Loja. The instructional design was structured using the 4PADAFE model, based on the principles of constructive alignment and competency-based education. The intervention was organized into seven sequential phases that integrated pedagogical planning, technological implementation, and evaluation. Students collaboratively developed educational resources, including interactive AR visualizations and AI-generated teaching materials addressing key topics such as fluid flow, heat transfer, and adsorption kinetics. The quantitative component constituted the main analytical approach and assessed changes in motivation using the Instructional Materials Motivation Survey (IMMS), based on Keller’s ARCS model. The instrument’s reliability was supported by high internal consistency (Cronbach’s α > 0.95) and satisfactory factor adequacy indices. The results revealed increases in all motivational dimensions, with mean scores rising from 3.26–3.33 in Phase I to 3.48–3.60 in Phase II. Overall, the findings indicate that the structured integration of AIgen and AR within an aligned problem-based learning (PBL) framework was associated with improvements in student engagement, confidence, and satisfaction. The study provides evaluative evidence supporting the implementation of technology-enhanced teaching strategies in engineering education under real-world classroom conditions. © 2026 by the authors."
"052","Evaluation of educational technologies for developing competencies in engineering students of biomimetic and sustainability course: a case study","Amador-Rodríguez, K.Y.; Alvarez-Rodríguez, F.J.","2023","10.1007/s12008-023-01520-4","Tecnologico de Monterrey recently launched the Tec21 Educative Model to develop relevant, comprehensive, integrated competencies in students that enable them to solve present and future professional challenges creatively and strategically. A current primary focus of university education is to incorporate sustainable development goals (SDG) in the curricular plans. Our study involved the Biomimetics and Sustainability course, which aligns with the SDGs. It is a course offered to first-year students in the School of Engineering and Science. This research aimed to analyze the evaluation methodology in developing certain sub-competencies: scientific thought, understanding other codes, digital culture, systems operations in engineering and sciences, and applying sustainability principles. This study contributes evidence and findings to help implement and operationalize competency-based assessments. The investigation centered on assessing student deliverables in the course, including two primary “Evidences,“ platform interactions, exams, and assignment accomplishments. The analysis showed that the students developed a higher overall competency level for the second Evidence (93.61 ± 0.76%) versus the first one (80.22 ± 11.61%). The present article is based on the experience of using the student portfolio as a tool for evaluation in the educational technology topic. © 2023, The Author(s), under exclusive licence to Springer-Verlag France SAS, part of Springer Nature."
"053","Teaching Artificial Intelligence for Non-computer Science Students in Undergraduate Education: A Competency Framework and an AI Course (Doctoral Consortium)","Tenório, K.","2023","10.1145/3631802.3631842","Artificial intelligence (AI) systems are saving time, reducing costs, and human efforts to perform tasks in diverse fields such as education, medicine, finance, and journalism. This growing relevance of AI in different domains brings a need to prepare future professionals in undergraduate education to use AI technologies effectively and responsibly in their careers. Through AI literacy in undergraduate education, non-computer science students can become prepared to use AI methods and tools to bring benefits (e.g., saving time, better outcomes) for their domains/future jobs, understand and increase awareness of the ethical, social, and legal issues raised by AI and critically evaluate these technologies when using them in their future jobs. Based on that, the main objective of this research is to develop an undergraduate AI course based on a competency framework that will empower future professionals from different domains with AI knowledge and skills. © 2023 Copyright held by the owner/author(s)."
"054","The role of simulation in colon and rectal surgery training","Valinluck Lao, V.; Steele, S.R.","2015","10.1053/j.scrs.2015.04.004","Over the last decade, duty hour regulations imposed on training programs in the ""modern era"" of surgical training have limited trainee exposure to operations. Due to this, attaining competency based on exposure to operations alone can no longer be assumed. With combined mandated clinic coverage, call, and endoscopic requirements, time has become an even more limited resource for achievement of proficiency, much less mastery, for those pursuing a career in all surgical disciplines-especially colorectal surgery. In this gap, simulation in surgical training has found an increasing role in multiple subspecialties, including colorectal surgery, as training moves towards competency-based curricula with increased standardization. Given the current environment of surgical training, there is an increasing demand for simulators that can be used for assessment and for training. In this article, we will discuss the multitude of simulators available for surgical training, their strengths and limitations, as well as ways to incorporate their use for skills training using a staged model. In addition, as simulators are increasingly being studied, developed and incorporated into certifying examinations, we will highlight their potential future role for board certification and maintenance of skills. Overall, their use in surgical training is proving to be beneficial, and because of this, it is likely their use in surgical training will increase. © 2015."
"055","Merging observational and interview data to study and improve the adaptability of the products of didactic engineering to ordinary teaching in physical education","Lenzen, B.; Barthe, C.; Cordoba, A.; Deriaz, D.; Poussin, B.; Pürro, C.; Saillen, L.; Suter, Y.; Voisard, N.","2022","10.1080/17408989.2021.1999917","Introduction: Our team of researchers proposed volunteer teachers to experiment with reference situations (RS) in middle-distance running, within the framework of a didactic engineering. During the conception stage, these RS were designed to serve as a starting point and an assessment tool of a teaching sequence. During the experimentation stage, teachers were expected to provide students with additional learning tasks and experiences that targeted the learning issues resulting from a priori analysis of the RS by the research team. Purpose: In line with previous research in mathematics and PE showing that the transmission of the products of didactic engineering was not self-evident, we focused on the ways teachers had reappropriated the RS and had dealt with their associated learning issues with the support of researchers. We illustrated how mixed methods have been heuristic for this purpose. Methods and results: We used a mixed-methods design merging observational and interview data. Eight primary school teachers participated in this study, the first layer of which focusing on the ways they addressed learning issues related to the RS. For each teacher, one researcher recorded four lessons and collected written documents. Then, through a priori analysis of the tasks whose purpose was learning and analysis of teacher and students’ joint action, the researcher recorded in a synopsis if the learning issues were (a) missing, (b) potential or (c) taught. These analyses showed that learning issues were taught little, if at all, by teachers. We restricted to the case of one PE teacher (George) the illustration of the second layer of our mixed-methods design, focusing on how teachers’ practical epistemology impacted the ways RS and learning issues conceived by the research team were transformed or adapted in the class. Observational data were articulated with the teacher’s reflexive verbalisations generated within one self-confrontation interview after two lessons and one semi-structured interview at the end of the experimentation. The results obtained in the case of George helped to understand how and why he had reappropriated the RS in a way that was unexpected to the research team. For example, his experience made him consider that teaching middle-distance running meant above all acting on students’ mental attributes. This experiential dimension of George’s practical epistemology was in line with his progressive way of confronting students with the RS. Moreover, the researcher succeeded in acting on George’s practical epistemology regarding the interest and the possibility of teaching running techniques. Discussion and conclusion: Our mixed-methods design proved to be suitable for studying and improving the adaptability of the products of didactic engineering to ordinary teaching in PE in a more dialectical way. Our results challenge the relatively large number of learning issues to be taught, the complexity to teach them and their compatibility with teachers’ practical epistemology, which has nevertheless been shown to be evolving. These findings are crucial in the perspective of a wide dissemination of curricular resources aiming at renewing the teaching of PE in line with the current competency-based approach. © 2021 Association for Physical Education."
"056","Learning analytics: Needs and opportunities","Ángel, H.-G.; Conde, M.Á.","2016","10.1145/3012430.3012533","Learning analytics is not a trend anymore. It is a must in education. Whenever we hear about the use of information technologies in education, the term learning analytics is mentioned. However, learning usually comes more as an afterthought than a core part of educational processes involving the use of IT. Think about how many times have you heard the sentence ""... and, of course, we provide learning analytics with it"" in the past couple of years. Right? Yet, despite the increasing amount of theoretical and applied research on learning analytics, there are still needs that are practically left unattended in most recent research. For example, the role of learning analytics in the current paradigm of studentcentred and competence-based learning, information about successful learning analytics-based interventions, cross-validation of prior research, standards for learning analytics, or learning analytics and instructional design. In addition, the emergence and growth of new technologies in educational contexts (e.g. smartphones, virtual and augmented reality, social networks), and the ever changing nature of existing ones, bring new challenges and opportunities for research and practice in learning analytics. © 2016 ACM.© 2016 ACM."
"057","A Problem-Based Introduction to Technical, Social, and Systemic Thinking in Engineering Courses","Vasconcelos, P.N.; Zambroni De Souza, A.C.","2022","10.1109/ACCESS.2022.3189654","Good systems thinking skills are beneficial to engineering projects since, besides being multidisciplinary, they address the needs of large human populations. Therefore, it is paramount that engineers should not only excel in the technical parts but also be good system thinkers and aware of the potential impacts of their activity. In this sense, this paper describes how to implement a project assignment in a system dynamics course for electrical engineering students to teach systemic thinking skills and connect the technical content, industry, and social responsibility. The effects on student performance and retention, and an evaluation of their perceptions of learning gains, are presented. Five weeks are dedicated to the implementation of a project-based project assignment. A formative assessment provides students developmental feedback based on the competencies shown during the creative process. It is complemented by a summative assessment module, which evaluates the adequacy of the finished content, which is developed as an online portfolio. Results indicate that the concepts of systemic thinking and the holistic view of engineering projects were successfully implemented through project assignments. Moreover, students' perceptions of their knowledge gains and comparisons of their performance and retention before and after the intervention indicate a positive influence on the learning process.  © 2013 IEEE."
"058","A Challenge-Based Learning Intensive Course for Competency Development in Undergraduate Engineering Students: Case Study on UAVs","Félix-Herrán, L.C.; Izaguirre-Espinosa, C.; Parra-Vega, V.; Sánchez-Orta, A.; Benitez, V.H.; Lozoya-Santos, J.-J.","2022","10.3390/electronics11091349","Accelerated advances in science and technology drive the need for professionals with flexible problem-solving abilities towards a collaborative working environment. The advances pose a challenge to educational institutions about how to develop learning environments that contribute to meeting the aforementioned necessity. Additionally, the fast pace of technology and innovative knowledge are encouraging universities to employ challenge-based-learning (CBL) approaches in engineering education supported by modern technology such as unmanned aerial vehicles (UAVs) and other advanced electronic devices. Within the framework of competency-based education (CBE) and CBL are the design, implementation, and evaluation of an intensive 40 h elective course which includes a 5-day challenge to promote the development of disciplinary and transversal competencies in undergraduate engineering students whilst relying on UAVs as the medium where the teaching– learning process takes place. Within this credit course, a case study was carried out considering the framework of an exploratory mixed-methods educational research approach that sought a broad understanding of the studied phenomena using various data collection instruments with quantitative and qualitative characteristics. An innovative academic tool was introduced, namely a thematic UAV platform that systematically exposed students to the principles underlying robotic systems and the scientific method, thereby stimulating their intellectual curiosity as a trigger to solve the posed challenge. Moreover, students came up with innovative teamwork-based solutions to a designed challenge while having an enjoyable and motivating time flying drones on an indoor obstacle course arranged by themselves. The preliminary findings may contribute to the design of other CBL experiences, supported by technology applied for educational purposes, which could promote the development of more disciplinary and transversal competencies in future engineers. © 2022 by the authors. Licensee MDPI, Basel, Switzerland."
"059","Qualimetric Approach for New Valeological Disciplines Assessing in Ukrainian Electrical and Power Engineering Education","Yelnykova, H.","2022","10.1109/MEES58014.2022.10005712","Modern education is characterized by the transition from the content-knowledge-subject paradigm to the personal-activity (competence-based) paradigm. One of the components of the competency-based approach is to determine the effectiveness of students' education based on the level assessment of their educational achievements. Qualimetric models are one of the tools for assessing the success of competency formation. Single universities of Ukraine, which train specialists in engineering specialties (power engineers, electrical engineers and electromechanics), have introduced valeological disciplines into their educational programs to meet the requirements of National educational standards. Since 2019, the valeological discipline 'Health Pedagogy' has been taught at the Ukrainian Engineering Pedagogics Academy. Qualimetry techniques were used to form a model of its teaching. The article describes the ways of constructing and the significance of applying factor-criteria competence models with a qualimetric assessment of learning outcomes in electrical and power engineering education on the example of this discipline. The results of studies of two groups of Ukrainian scientists (Kharkiv and Ivano-Frankivsk) were compared, each of which has its own ideas about the ways in which students develop a healthy lifestyle. As a result of a comparative study, it was found that a model based on a factor-criteria standard is more suitable for the formation of valeological competence of students of engineering specialties in Ukraine. The use of qualimetry makes it possible to assess the success of students in matters of competence formation, to establish the minimum acceptable level of competence formation for electric power engineers, electrical engineers, electromechanics, engineers-pedagogues' students of educational levels 'bachelor' and 'master'. Possible approaches to the formation of curricula of valeological disciplines are shown.  © 2022 IEEE."
"060","The visibility of QSEN competencies in clinical assessment tools in Swedish nurse education","Nygårdh, A.; Sherwood, G.; Sandberg, T.; Rehn, J.; Knutsson, S.","2017","10.1016/j.nedt.2017.09.003","Background Prospective nurses need specific and sufficient knowledge to be able to provide quality care. The Swedish Society of Nursing has emphasized the importance of the six quality and safety competencies (QSEN), originated in the US, in Swedish nursing education. Purpose To investigate the visibility of the QSEN competencies in the assessment tools used in clinical practice Method A quantitative descriptive method was used to analyze assessment tools from 23 universities. Results and Conclusion: Teamwork and collaboration was the most visible competency. Patient-centered care was visible to a large degree but was not referred to by name. Informatics was the least visible, a notable concern since all nurses should be competent in informatics to provide quality and safety in care. These results provide guidance as academic and clinical programs around the world implement assessment of how well nurses have developed these essential quality and safety competencies. © 2017 Elsevier Ltd"
"061","Generic competences acquisition through classroom activities in first-year agricultural engineering students","Bautista, I.","2016","10.1186/s41239-016-0028-8","Generic skills need to be developed by university students to prepare them for lifelong learning. Higher education institutions play a key role in developing appropriate strategies for a competences-based approach with learning activities defined in terms of knowledge and skills. Although current knowledge assessments focus on individual grading, skill acquisition assessments require a social context. This paper proposes that generic skills can, and should, be developed from year 1 at university through active learning methods. The assessment of generic competences acquisition at university relies on the design and performance of useful activities rather than on specific outcomes in competence subjects of university programmes. Several active learning methods were applied to a first-year agricultural engineering course on Soil Science in the Polytechnic University of Valencia; these methods are described and their usefulness for students’ skills acquisition is analysed. © 2016, The Author(s)."
"062","Evaluating Competency Development and Academic Outcomes: Insights from Six Semesters of Data-Driven Analysis","Solera, E.; Menasalvas, E.; Martín, M.; Zorrilla, M.; Valdés-Ramírez, D.; Zavala, G.; Monroy, R.","2025","10.3390/educsci15040513","Competency-Based Education (CBE) has been widely studied since the 1970s, yet it remains innovative due to its challenges across disciplines and cultures. Tecnológico de Monterrey, a Mexican private institution, implements CBE through its Tec21 model, which emphasizes challenge-based learning to develop disciplinary and transversal skills. Since its launch in 2019, Tec21 has generated extensive data, offering an opportunity to assess its performance and ensure quality. This study analyzes data from six academic semesters in the School of Engineering and Sciences to address key quality assurance questions. First, we evaluate whether initially enrolling in a generic area before selecting a specific program improves long-term student outcomes. Second, we examine competency development, identifying challenges in achieving certain skills and their links to dropout rates and module difficulty. Third, we explore the relationship between final grades, module credit allocation, and Tec weeks to assess curriculum alignment with academic performance. Using data from over 550,000 evaluations of 4500+ students, our analysis provides robust quality metrics. Findings suggest that students who start in generic areas perform better long term and highlight the complex interplay between competencies, module characteristics, and academic success. These insights deepen the understanding of CBE implementation and offer recommendations to improve educational strategies and quality assurance within competency-based frameworks. © 2025 by the authors."
